Constituency,Raila,Ruto,Mwaure,Wajackoyah,Rejected,Total,Remarks
Gatundu North,8745,40310,136,203,431,49825,
Gatundu South,12290,41712,223,311,475,55011,
Gem,63438,702,41,143,338,64662,
Gichugu,9216,55744,181,354,397,65892,
Gilgil,20997,39225,246,275,609,61352,
Githunguri,13429,58343,270,296,472,72810,
Hamisi,31133,14589,86,282,524,46614,
Homa Bay Town,43075,638,12,134,177,44036,
Igembe Central,13343,45495,165,294,428,59725,
Igembe North,12149,36747,113,279,744,50032,
Igembe South,13033,36399,111,310,625,50478,
Ijara,18214,1367,7,56,65,19709,
Ikolomani,24278,8868,53,192,265,33656,
Isiolo North,19740,22845,40,140,343,43108,
Isiolo South,6696,9455,12,33,192,16388,
Jomvu,20863,13962,51,227,424,35527,
Juja,23200,62193,351,501,460,86705,
Kabete,15640,44186,371,460,307,60964,
Kabondo Kasipul,42088,260,16,66,157,42587,
Kabuchai,10680,32221,193,385,425,43904,
Kacheliba,,,,,,0,
Kaiti,33617,7659,95,272,228,41871,
Kajiado Central,28468,22585,50,107,186,51396,
Kajiado East,,,,,,0,
Kajiado North,35868,41723,396,365,582,78934,
Kajiado South,23614,27333,147,114,189,51397,
Kajiado West,,,,,,0,
Kaloleni,25011,11788,174,360,326,37659,records prison separately
Kamukunji,35552,25830,99,253,1392,63126,
Kandara,11118,59613,255,305,356,71647,
Kanduyi,30926,38384,204,413,1347,71274,
Kangema,5456,29242,137,130,266,35231,
Kangundo,29808,8405,93,365,330,39001,
Kapenguria,15042,35242,57,101,390,50832,
Kapseret,14900,35218,60,92,305,50575,
Karachuonyo,68340,648,7,88,275,69358,
Kasarani,35027,55300,573,498,780,92178,
Kasipul,48164,407,27,122,166,48886,
Kathiani,30984,6624,91,300,260,38259,
Keiyo North,1266,37337,30,32,152,38817,
Keiyo South,1611,46436,30,55,455,48587,
Kesses,8966,45653,61,88,334,55102,
Khwisero,27997,5201,76,235,438,33947,
Kiambaa,18879,48357,347,381,468,68432,
Kiambu,14760,41050,318,318,392,56838,
Kibra,55230,19321,232,291,404,75478,
Kibwezi East,27072,9762,81,270,244,37429,
Kibwezi West,40909,12689,102,304,365,54369,
Kieni,11894,62507,199,261,573,75434,
Kigumo,11170,45949,219,260,349,57947,
Kiharu,13114,66959,284,386,437,81180,
Kikuyu,16877,47145,429,438,415,65304,
Kilgoris,0,0,0,0,0,0,
Kilifi North,0,0,0,0,0,0,na
Kilifi South,32548,10978,111,340,639,44616,
Kilome,28166,7023,82,233,240,35744,
Kimilili,14119,22954,130,234,366,37803,
Kiminini,34863,20924,113,264,713,56877,
Kinango,36159,17398,145,283,345,54330,
Kinangop,15359,61960,260,328,513,78420,
Kipipiri,7816,28770,138,181,210,37115,
Kipkelion East,3303,43898,33,43,248,47525,
Kipkelion West,1771,40056,29,51,207,42114,
Kirinyaga Central,8978,48645,129,296,383,58431,
Kisauni,0,0,0,0,0,0,
Kisumu Central,79955,4458,60,210,516,85199,
Kisumu East,63454,1324,50,113,337,65278,
Kisumu West,57655,1241,41,140,299,59376,
Kitui Central,29067,16820,144,283,427,46741,
Kitui East,28523,13534,202,378,322,42959,
Kitui Rural,24668,7845,117,190,334,33154,
Kitui South,34267,11746,186,526,352,47077,
Kitui West,27673,8363,143,303,443,36925,
Kitutu Chache North,18649,15594,94,154,434,34925,
Kitutu Chache South,30923,9734,57,172,391,41277,
Kitutu Masaba,45526,23846,128,281,736,70517,
Konoin,2164,56262,36,98,175,58735,
Kuresoi North,8353,40542,57,85,381,49418,
Kuresoi South,782,49010,24,65,203,50084,
Kuria East,12031,16795,62,144,289,29321,
Kuria West,11970,28933,108,186,359,41556,
Kwanza,29040,16162,82,181,548,46013,
Lafey,9473,2690,19,61,86,12329,
Lagdera,0,0,0,0,0,0,
Laikipia East,13333,48635,167,264,442,62841,
Laikipia North,14630,13160,43,82,254,28169,
Laikipia West,20943,57192,222,258,627,79242,
Laisamis,4161,18776,35,62,60,23094,
Lamu East,9564,4639,48,452,426,15129,
Lamu West,16598,18237,138,396,451,35820,
Langata,51163,27871,534,528,1189,81285,
Lari,9162,47315,170,209,294,57150,
Likoni,24444,12908,47,244,539,38182,
Likuyani,32618,9301,108,177,398,42602,
Limuru,14498,46051,297,314,439,61599,
Loima,13042,8025,36,57,74,21234,
Luanda,0,0,0,0,0,0,
Lugari,36606,15025,133,285,540,52589,
Lungalunga,22941,10350,98,188,200,33777,
Lurambi,36216,14494,99,264,764,51837,
Maara,4902,45182,134,275,290,50783,
Machakos Town,50114,19677,196,540,721,71248,
Magarini,30568,11049,220,403,382,42622,
Makadara,43352,30138,283,332,452,74557,
Makueni,48774,12492,90,418,379,62153,
Malava,29088,27152,180,370,762,57552,
Malindi,27676,13841,107,308,439,42371,
Mandera East,18304,7315,41,141,296,26097,
Mandera North,20359,3080,67,111,64,23681,
Mandera South,0,0,0,0,0,0,
Mandera West,20531,5160,67,156,130,26044,
Manyatta,8537,59855,163,381,559,69495,
Maragwa,11271,55962,216,324,415,68188,
Marakwet East,735,31880,29,42,686,33372,
Marakwet West,1290,44439,31,47,202,46009,
Masinga,33981,9031,112,238,216,43578,
Matayos,34916,8700,60,207,43883,87766,
Mathare,41177,24814,97,258,587,66933,
Mathioya,6293,32313,149,214,262,39231,
Mathira,9328,63715,139,257,471,73910,
Matuga,32722,11901,95,365,344,45427,
Matungu,35136,12010,124,608,455,48333,
Matungulu,33249,11991,146,346,413,46145,
Mavoko,46183,22051,203,380,998,69815,
Mbeere North,34407,34000,117,253,228,69005,
Mbeere South,13978,36317,141,357,459,51252,
Mbooni,50649,9706,122,351,445,61273,
Mogotio,982,30824,34,49,117,32006,
Moiben,6772,49625,54,51,336,56838,
Molo,18632,29472,132,149,720,49105,
Mosop,1180,60343,46,46,288,61903,
Moyale,20595,23768,69,112,276,44820,
Msambweni,33795,12259,76,301,464,46895,
Mt. Elgon,5650,48656,148,149,550,55153,
Muhoroni,56714,2025,34,78,394,59245,
Mukurweini,5514,34322,132,163,254,40385,
Mumias East,19482,10844,65,236,376,31003,
Mumias West,25079,5926,67,254,311,31637,
Mvita,0,0,0,0,0,0,
Mwala,42286,13267,113,411,386,56463,
Mwatate,20376,6010,54,193,277,26910,
Mwea,12912,75070,184,476,685,89327,
Mwingi Central,33082,10749,262,430,811,45334,
Mwingi North,31655,11508,230,424,282,44099,
Mwingi West,26470,8855,162,302,326,36115,
Naivasha,36487,61915,293,429,613,99737,
Nakuru Town East,34223,40942,296,382,533,76376,
Nakuru Town West,36824,32982,119,211,628,70764,
Nambale,28363,5086,55,182,316,34002,
Nandi Hills,3471,38308,40,45,229,42093,
Narok East,23686,12164,28,45,183,36106,
Narok North,51722,14940,55,57,329,67103,
Narok South,0,0,0,0,0,0,
Narok West,0,0,0,0,0,0,na
Navakholo,24690,14579,123,267,443,40102,
Ndaragwa,7232,30875,93,140,293,38633,
Ndhiwa,0,0,0,0,0,0,
Ndia,6872,41293,151,232,346,48894,
Njoro,28954,44747,203,271,503,74678,
North Horr,23160,3040,29,66,0,26295,rejected ballot missing
North Imenti,9680,51696,101,242,539,62258,
North Mugirango,23588,18965,66,166,311,43096,
Nyakach,0,0,0,0,0,0,
Nyali,31717,23613,109,568,1143,57150,
Nyando,59994,397,25,65,403,60884,
Nyaribari Chache,32216,21366,98,260,689,54629,
Nyaribari Masaba,26096,16240,112,195,567,43210,
Nyatike,54898,453,16,72,137,55576,
Nyeri Town,12088,43576,237,286,441,56628,
Ol Jorok,7581,31982,140,164,288,40155,
Ol Kalou,11202,35690,202,232,267,47593,
Othaya,7249,36606,145,205,315,44520,
Pokot South,17489,28825,66,132,469,46981,
Rabai,18645,9700,115,288,295,29043,
Rangwe,42306,319,13,87,158,42883,
Rarieda,61067,661,40,141,263,62172,
Rongai,13799,42232,96,134,487,56748,
Rongo,44944,578,20,57,140,45739,
Roysambu,31022,59165,399,398,1077,92061,
Ruaraka,58539,15182,68,159,625,74573,
Ruiru,32959,68695,485,543,763,103445,
Runyenjes,5191,57695,104,397,600,63987,
Sabatia,0,0,0,0,0,0,
Saboti,27269,26410,80,196,413,54368,
Saku,7725,13231,11,63,94,21124,
Samburu East,8147,9098,17,71,107,17440,
Samburu North,14598,7015,17,63,55,21748,
Samburu West,18992,12206,28,104,173,31503,
Seme,46077,247,20,56,186,46586,
Shinyalu,32446,10853,96,212,356,43963,
Sigor,13774,21261,55,102,354,35546,
Sigowet/Soin,695,45886,26,32,317,46956,
Sirisia,11992,17392,123,168,398,30073,
Sotik,2417,66866,51,109,276,69719,
South Imenti,9706,69050,140,435,600,79931,
South Mugirango,30496,21289,92,227,455,52559,
Soy,10824,55908,49,107,342,67230,
Starehe,,,,,,0,
Suba North,45041,309,10,62,206,45628,
Suba South,0,0,0,0,0,0,na
Subukia,8301,29772,101,149,343,38666,
Suna East,38391,2128,27,74,208,40828,
Suna West,42327,794,15,57,0,43193,illegible
Tarbaj,8912,9735,51,96,97,18891,
Taveta,21069,6690,42,136,155,28092,
Teso North,32176,6760,85,181,911,40113,
Teso South,40695,6094,80,162,406,47437,
Tetu,5970,31781,130,172,231,38284,
Tharaka,4877,46582,154,522,375,52510,
Thika Town,29954,60728,409,436,617,92144,
Tiaty,25286,5721,29,105,56,31197,
Tigania East,0,0,0,0,0,0,na
Tigania West,8823,36454,112,310,422,46121,
Tinderet,927,39998,24,41,142,41132,
Tongaren,,,,,,0,
Turbo,25950,51062,116,166,459,77753,
Turkana Central,18848,14089,82,128,524,33671,
Turkana East,11080,1347,19,46,76,12568,
Turkana North,15318,10675,43,41,24,26101,
Turkana South,20472,3088,51,79,217,23907,
Turkana West,42673,17107,9288,44,86,69198,
Ugenya,47252,842,49,103,275,48521,
Ugunja,40540,517,17,88,185,41347,
Uriri,47250,2458,32,126,240,50106,
Vihiga,17140,12432,84,232,400,30288,
Voi,23014,12040,78,257,357,35746,
Wajir East,13712,8152,36,120,139,22159,
Wajir North,12853,8202,61,145,220,21481,
Wajir South,,,,,,0,
Wajir West,14845,6305,16,58,81,21305,
Webuye East,13720,16412,110,249,380,30871,
Webuye West,10876,25095,179,222,603,36975,
West Mugirango,0,0,0,0,0,0,na
Westlands,55088,28232,332,498,1099,85249,
Wundanyi,16847,4309,75,238,209,21678,
Yatta,38225,10391,121,325,400,49462,
